I_rms_A,I_max_A,Amp_50Hz,Amp_100Hz,Amp_150Hz,Amp_200Hz,Amp_250Hz
0.366566,1.566129,0.143257,0.118754,0.130215,0.104059,0.111854
0.358917,1.562903,0.138326,0.111818,0.125201,0.099531,0.107328
0.352929,1.478226,0.137891,0.111353,0.125238,0.099723,0.107913
0.373434,1.491129,0.144836,0.111943,0.130283,0.101039,0.110943
0.402821,1.770161,0.156239,0.117462,0.138744,0.106072,0.118133
0.362,1.535484,0.138266,0.102344,0.124426,0.093896,0.107562
0.372505,1.559677,0.144741,0.101666,0.129198,0.093995,0.111164
0.372419,1.555645,0.145023,0.097888,0.129765,0.091273,0.11156
0.373078,1.574194,0.144128,0.09258,0.130215,0.08799,0.11197
0.392589,1.739516,0.149424,0.089138,0.134456,0.085475,0.115107
0.386435,1.629839,0.149445,0.082278,0.133353,0.07881,0.114256
0.371016,1.612903,0.142637,0.071274,0.127945,0.070974,0.110128
0.424819,1.907258,0.160791,0.076832,0.145109,0.075632,0.123614
0.416644,1.826613,0.159101,0.064601,0.14317,0.065992,0.120601
0.35779,1.508871,0.136681,0.044061,0.122003,0.047384,0.106301
0.42133,1.745968,0.16355,0.04878,0.146842,0.053231,0.124676
0.374655,1.620968,0.143031,0.026114,0.12757,0.033499,0.108476
0.377612,1.630645,0.141419,0.018851,0.126777,0.026981,0.109829
0.35374,1.483065,0.133892,0.007474,0.119578,0.01356,0.103146
0.358715,1.502419,0.13661,0.007622,0.123109,0.012029,0.105577
0.106513,0.237923,0.073615,0.033412,0.034632,0.014346,0.008635
0.106016,0.221832,0.073061,0.031763,0.033036,0.012542,0.008945
0.105105,0.221832,0.072675,0.031263,0.032095,0.012638,0.008729
0.105349,0.213744,0.072155,0.030319,0.032674,0.012709,0.008877
0.104315,0.229822,0.073653,0.046933,0.035702,0.018863,0.01038
0.104244,0.221812,0.073409,0.046226,0.035621,0.018666,0.008792
0.103531,0.213724,0.072518,0.044736,0.034552,0.017389,0.008209
0.104636,0.213725,0.073119,0.044587,0.034107,0.017468,0.009437
0.104336,0.221815,0.072905,0.043555,0.035131,0.018888,0.010364
