y,label
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
3,laptobNt
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
1,loetstation
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
2,ventilator
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
0,noDevice
